"Date","Record Number","Record Type","Address","Status","Description","Project Name","Short Notes",
"12/30/2025","BLDNCC-2025-22117","New Commercial Construction Permit","18 Cherokee CIR, 204, Madison WI 53704 United States","In Process","Enclose existing open porch for unheated sunroom",,"Enclose existing open porch for unheated sunroom",
"12/30/2025","BLDNCC-2025-22102","New Commercial Construction Permit","69 Cherokee CIR, 204, Madison WI 53704 United States","In Process","Enclose existing open porch for unheated sunroom",,"Enclose existing open porch for unheated sunroom",
"12/30/2025","BLDNCC-2025-22101","New Commercial Construction Permit","6510 Grand Teton PLZ, 302, Madison WI 53719 United States","Inspections Complete","Advanced Dermatology - existing tenant alteration",,"Advanced Dermatology - existing tenant alteration",
"12/29/2025","BLDNCC-2025-22042","New Commercial Construction Permit","525 Junction RD, 3200, Madison WI 53717 United States","Issued","Vierbicher engineering office - new tenant alteration",,"Vierbicher engineering office - new tenant alteration",
"12/29/2025","BLDNCC-2025-22037","New Commercial Construction Permit","707 S Mills ST, Madison WI 53715 United States","Issued","Verizon - remove 9 RRUs, 3 antennas, and 3 diplexers.  add 3 antennas and 3 RRUs",,"Verizon - remove 9 RRUs, 3 antennas, and 3 diplexers.  add 3 antennas and 3 RRUs",
"12/29/2025","BLDNCC-2025-22030","New Commercial Construction Permit","1211 Fish Hatchery RD, Madison WI 53715 United States","Issued","SSM Health - MRI renovation build out",,"SSM Health - MRI renovation build out",
"12/29/2025","BLDNCC-2025-22027","New Commercial Construction Permit","613 Williamson ST, 102, Madison WI 53703 United States","Issued","Mind Medicine Inc - new tenant alteration - CEO office",,"Mind Medicine Inc - new tenant alteration - CEO office",
"12/29/2025","BLDNCC-2025-22015","New Commercial Construction Permit","125 N Hamilton ST, 804, Madison WI 53703 United States","Issued","bathroom remodel- add wall sections using non-combustible construction",,"bathroom remodel- add wall sections using non-combustible construction",
"12/29/2025","BLDNCC-2025-22013","New Commercial Construction Permit","558 Troy DR, Madison WI 53704 United States","Issued","4.86 kW PV Solar Panel Installation on roof - 12 panels",,"4.86 kW PV Solar Panel Installation on roof - 12 panels",
"12/29/2025","BLDNCC-2025-22011","New Commercial Construction Permit","575 D'onofrio DR, 300, Madison WI 53719 United States","Issued","Harbour Investments - existing tenant alteration",,"Harbour Investments - existing tenant alteration",
"12/23/2025","BLDNCC-2025-21909","New Commercial Construction Permit","700 Regent ST, 301, Madison WI 53715 United States","Issued","Fiduciary Partners - new tenant alteration",,"Fiduciary Partners - new tenant alteration",
"12/23/2025","BLDNCC-2025-21904","New Commercial Construction Permit","4692 Cottage Grove RD, Madison WI 53716 United States","Inspections Complete","M&J Jamaican Kitch'n - determine occupancy",,"M&J Jamaican Kitch'n - determine occupancy",
"12/22/2025","BLDNCC-2025-21827","New Commercial Construction Permit","2866 Agriculture DR, Madison WI 53718 United States","Closed","3rd gen painting and remodeling - new tenant alteration",,"3rd gen painting and remodeling - new tenant alteration",
"12/19/2025","BLDNCC-2025-21759","New Commercial Construction Permit","122 Junction RD, Madison WI 53717 United States","Issued","Steve's Liquor - convert bathroom to glassware storage and sanitization room",,"Steve's Liquor - convert bathroom to glassware storage and sanitization room",
"12/19/2025","BLDNCC-2025-21744","New Commercial Construction Permit","3760 Marsh RD, Madison WI 53718 United States","Issued","Franklin Fueling - alteration to create office area",,"Franklin Fueling - alteration to create office area",
"12/18/2025","BLDNCC-2025-21678","New Commercial Construction Permit","4618 S Biltmore LN, Madison WI 53718 United States","Inspections Complete","Brain Balance Center of Madison - new tenant alteration",,"Brain Balance Center of Madison - new tenant alteration",
"12/17/2025","BLDNCC-2025-21620","New Commercial Construction Permit","421 S Park ST, Madison WI 53715 United States","In Process","Add entrance and toilet room to second floor office for future tenant",,"Add entrance and toilet room to second floor office for future tenant",
"12/16/2025","BLDNCC-2025-21582","New Commercial Construction Permit","3551 Anderson ST, Madison WI 53704 United States","Issued","Neuwave Medical - IT room alteration",,"Neuwave Medical - IT room alteration",
"12/16/2025","BLDNCC-2025-21556","New Commercial Construction Permit","554 N Midvale BLVD, Madison WI 53705 United States","Issued","Chocolate Shoppe Ice Cream alteration",,"Chocolate Shoppe Ice Cream alteration",
"12/16/2025","BLDNCC-2025-21553","New Commercial Construction Permit","2201 Zeier RD, Madison WI 53704 United States","Issued","split one vacant tenant space into two vacant tenant spaces. Alter facade",,"split one vacant tenant space into two vacant tenant spaces. Alter facade",
"12/16/2025","BLDNCC-2025-21549","New Commercial Construction Permit","1717 N Stoughton RD, Madison WI 53704 United States","Issued","Common Threads Family Resource Center - existing tenant alteration",,"Common Threads Family Resource Center - existing tenant alteration",
"12/15/2025","BLDNCC-2025-21500","New Commercial Construction Permit","7250 Maahic WAY, Madison WI 53718 United States","In Process","Dane County - RNG Maintenance Shop and Office Building",,"Dane County - RNG Maintenance Shop and Office Building",
"12/15/2025","BLDNCC-2025-21496","New Commercial Construction Permit","2810 Crossroads DR, 3500, Madison WI 53718 United States","Closed","Sterling Law Office - existing tenant alteration",,"Sterling Law Office - existing tenant alteration",
"12/12/2025","BLDNCC-2025-21441","New Commercial Construction Permit","1255 Fourier DR, 102, Madison WI 53717 United States","Issued","Madison Plastic Surgery - new tenant alteration",,"Madison Plastic Surgery - new tenant alteration",
"12/12/2025","BLDNCC-2025-21372","New Commercial Construction Permit","215 S Hamilton ST, 3000, Madison WI 53703 United States","In Process","Dane County District Attorney alteration - 3rd and 4th floors.  Add mezzanine on 3rd floor",,"Dane County District Attorney alteration - 3rd and 4th floors",
"12/11/2025","BLDNCC-2025-21368","New Commercial Construction Permit","1331 Greenway Cross, Madison WI 53713 United States","Issued","Pacos Tacos - restroom renovation and increase occupant load",,"Pacos Tacos - restroom renovation and increase occupant load",
"12/10/2025","BLDNCC-2025-21297","New Commercial Construction Permit","1021 University AVE, Madison WI 53715 United States","Issued","Luther Memorial Church - prepare balcony for new organ",,"Luther Memorial Church - prepare balcony for new organ",
"12/10/2025","BLDNCC-2025-21263","New Commercial Construction Permit","1 S Pinckney ST, Madison WI 53703 United States","Issued","interior nonstructural demolition permit to not affect exiting, toilet rooms, or fire protection",,"interior nonstructural demolition permit to not affect exiting, toilet rooms, or fire protection",
"12/10/2025","BLDNCC-2025-21262","New Commercial Construction Permit","1 S Pinckney ST, Madison WI 53703 United States","Issued","1st floor lobby renovation",,"1st floor lobby renovation",
"12/08/2025","BLDNCC-2025-21135","New Commercial Construction Permit","529 N Lake ST, Madison WI 53703 United States","Closed","Kollege Klub - alteration to create merchandise display",,"Kollege Klub - alteration to create merchandise display",
"12/08/2025","BLDNCC-2025-21133","New Commercial Construction Permit","1 S Pinckney ST, 700, Madison WI 53703 United States","Issued","interior nonstructural demolition permit to not affect exiting, toilet rooms, or fire protection",,"interior nonstructural demolition permit to not affect exiting, toilet rooms, or fire protection",
"12/08/2025","BLDNCC-2025-21132","New Commercial Construction Permit","1 S Pinckney ST, 700, Madison WI 53703 United States","Issued","Michael Best & Friedrich - existing tenant alteration 7th, 8th, and 9th floors",,"Michael Best & Friedrich - existing tenant alteration 7th, 8th, and 9th floors",
"12/08/2025","BLDNCC-2025-21109","New Commercial Construction Permit","440 Science DR, 400, Madison WI 53711 United States","Issued","Forward Legal Services - existing tenant alteration",,"Forward Legal Services - existing tenant alteration",
"12/05/2025","BLDNCC-2025-21069","New Commercial Construction Permit","1255 Fourier DR, 101, Madison WI 53717 United States","Closed","Interior non structural demo, not to affect toilet rooms, exiting, or fire rated systems",,"Interior non structural demo, not to affect toilet rooms, exiting, or fire rated systems",
"12/05/2025","BLDNCC-2025-21068","New Commercial Construction Permit","1255 Fourier DR, 101, Madison WI 53717 United States","Issued","New York Life- new tenant alterations",,"New York Life- new tenant alterations",
"12/05/2025","BLDNCC-2025-21056","New Commercial Construction Permit","807 Walsh RD, Madison WI 53714 United States","In Process","New two tenant shell building",,"New two tenant shell building",
"12/05/2025","BLDNCC-2025-21052","New Commercial Construction Permit","401 N Third ST, Madison WI 53704 United States","Issued","Kwik Trip - remodel kitchen, toilet rooms, sales area. external freezer addition",,"Kwik Trip - remodel kitchen, toilet rooms, sales area. external freezer addition",
