record_number,date,address,status,description,project_name,units,zoning,lat,lng,use_type,housing_type,outcome
BLDNCC-2026-03423,2026-03-09,"5836 Blissful AVE, Madison WI 53718 United States",In Process,new 42 unit apartment,,42,TR-U1,43.1090882,-89.2788815,CONDITIONAL,Mid-Rise,ACTIVE
BLDNCC-2026-02980,2026-03-02,"3303 Burke AVE, Madison WI 53714 United States",In Process,Blue Wren - new 70-unit apartment with indoor parking and shell commercial space,,70,TE,43.1078114,-89.3328135,CONDITIONAL,Mid-Rise Mixed-Use,ACTIVE
BLDNCC-2026-01988,2026-02-10,"5612 Blissful AVE, Madison WI 53718 United States",In Process,new 4 unit townhouse,,4,TR-U1,43.1090882,-89.2788815,PERMITTED,Townhouse,ACTIVE
BLDNCC-2026-01980,2026-02-10,"904 Wisdom RD, Madison WI 53718 United States",In Process,Jannah Village - new 8 unit apartment,,8,SR-C3,43.1107359,-89.2802929,UNKNOWN,Multiplex,ACTIVE
BLDNCC-2026-01971,2026-02-10,"962 Wisdom RD, Madison WI 53718 United States",In Process,Jannah Village - new 8 unit apartment,,8,SR-C3,43.1107359,-89.2802929,UNKNOWN,Multiplex,ACTIVE
BLDNCC-2026-01620,2026-02-03,"5622 Blissful AVE, Madison WI 53718 United States",In Process,Jannah Village - new 6 unit townhouse,,6,TR-U1,43.1090882,-89.2788815,PERMITTED,Townhouse,ACTIVE
BLDNCC-2026-01609,2026-02-03,"922 Wisdom RD, Madison WI 53718 United States",In Process,new 7 unit townhouse,,7,SR-C3,43.1107359,-89.2802929,UNKNOWN,Townhouse,ACTIVE
BLDNCC-2026-01589,2026-02-03,"5619 Eternity DR, Madison WI 53718 United States",In Process,Jannah Village - New 6 unit townhouse - building 4F,,6,SR-C3,43.1105801,-89.2801679,UNKNOWN,Townhouse,ACTIVE
BLDNCC-2026-00455,2026-01-12,"656 Williamson ST, Madison WI 53703 United States",In Process,"New 5 story, 53-unit apartment with indoor parking and shell commercial space",,53,TE,43.0765541,-89.3741915,CONDITIONAL,Mid-Rise Mixed-Use,ACTIVE
BLDNCC-2025-19414,2025-11-06,"3572 Hargrove ST, Madison WI 53714 United States",Issued,Eastmorland Community Housing - 26-unit apartment,,26,TR-C2,43.0912605,-89.3263924,UNKNOWN,Mid-Rise,ACTIVE
BLDNCC-2025-19069,2025-10-31,"9451 Spirit ST, Middleton WI 53562 United States",In Process,Paragon Place Lot 4 - building #2: 12-unit apartment with private garages,,12,,,,UNKNOWN,Mid-Rise,ACTIVE
BLDNCC-2025-19054,2025-10-31,"3575 University AVE, Madison WI 53705 United States",In Process,New 147 unit 6 story multiuse building,,147,CC-T,43.075298,-89.4494055,CONDITIONAL,Mid-Rise Mixed-Use,ACTIVE
BLDNCC-2025-18951,2025-10-30,"519 E Johnson ST, Madison WI 53703 United States",In Process,Porchlight - alteration - convert first floor sleeping rooms to 2 dwelling units. Add kitchens and powder room on second floor,,2,DR1,43.0804704,-89.3815282,PERMITTED,Duplex/Triplex,ACTIVE
