category,code,name,description,residential_permitted,residential_conditional,max_stories,max_density
Residential,TR-R,Traditional Residential - Rustic,"Single family and 2-3 unit buildings. Select other uses like schools, parks, places of worship and daycares, etc. The lot size, lot width, and building setbacks decrease as you go down the list.","Single family building, 2-unit building",,3,4-8
Residential,SR-C1,Suburban Residential - Consistent 1,,"Single family building, 2 unit building",,2,7-14
Residential,SR-C2,Suburban Residential - Consistent 2,,"Single family building, 2 unit building",,2,8-17
Residential,SR-C3,Suburban Residential - Consistent 3,,"Single family building, 2 unit building",,2,8-17
Residential,TR-C1,Traditional Residential - Consistent 1,,"Single family building, 2 unit building",,2,8-17
Residential,TR-C2,Traditional Residential - Consistent 2,,"Single family building, 2 unit building",,2,10-21
Residential,TR-C3,Traditional Residential - Consistent 3,,"Single family building, 2 unit building",,2,14-29
Residential,TR-C4,Traditional Residential - Consistent 4,,"Single family building, 2-3 unit building",,2,10-32
Residential,SR-V1,Suburban Residential - Varied 1,"Ranges from single family to townhomes and small multifamily buildings, and select other uses like schools, parks, places of worship and daycares, etc. Mixed-use buildings are also allowed but are limited to uses like a daycare, church or gym.","Single family building, 2-3 unit building, 3-4 unit townhome, 4-8 unit multifamily",">4 unit townhome, Mixed-use building",3,8-29
Residential,TR-V1,Traditional Residential - Varied 1,,"Single family building, 2-3 unit building, 3-4 unit townhome, 4 unit multifamily",Mixed-use building,2,14-43
Residential,SR-V2,Suburban Residential - Varied 2,"Ranges from single family to large multifamily buildings, and select other uses like schools, parks, places of worship and daycares, etc. Mixed-use buildings are also allowed but are limited to uses like a daycare, church or gym.","Single family building, 2-3 unit building, 3-8 unit townhome, 4-24 unit multifamily",">8 unit townhome, >24 unit multifamily, Mixed-use building",4,8-29
Residential,TR-V2,Traditional Residential - Varied 2,,"Single family building, 2-3 unit building, 3-4 unit townhome, 4-12 unit multifamily",">4 unit townhome, 13-60 unit multifamily, Mixed-use building",3,14-43
